experiment;total_predictions;correct_predictions;not_embedded_sentences;accuracy
ISO/en/mono/WithCLS/4/Average;217;13;9;5.990783410138248
ISO/en2/mono/All/2/Average;217;13;9;5.990783410138248
ISO/en/multi/WithCLS/3/Average;217;13;9;5.990783410138248
AOC/en2/mono/NoSpec/16/Unique;217;14;9;6.451612903225806
AOC/en/mono/All/5/First;226;3;0;1.327433628318584
ISO/en/mono/WithCLS/5/Average;217;13;9;5.990783410138248
ISO/en2/mono/All/3/Average;217;14;9;6.451612903225806
ISO/en/multi/WithCLS/4/Average;217;13;9;5.990783410138248
AOC/en2/mono/NoSpec/17/Unique;217;16;9;7.373271889400922
AOC/en/mono/All/0/Last;226;6;0;2.6548672566371683
ISO/en2/mono/All/4/Average;217;14;9;6.451612903225806
ISO/en/mono/WithCLS/6/Average;217;13;9;5.990783410138248
ISO/en/multi/WithCLS/5/Average;217;13;9;5.990783410138248
AOC/en2/mono/NoSpec/18/Unique;217;13;9;5.990783410138248
AOC/en/mono/All/1/Last;226;5;0;2.2123893805309733
ISO/en2/mono/All/5/Average;217;15;9;6.912442396313365
ISO/en/mono/WithCLS/7/Average;217;9;9;4.147465437788019
ISO/en/multi/WithCLS/6/Average;217;13;9;5.990783410138248
AOC/en2/mono/NoSpec/19/Unique;217;11;9;5.0691244239631335
AOC/en/mono/All/2/Last;226;6;0;2.6548672566371683
ISO/en2/mono/All/6/Average;217;15;9;6.912442396313365
ISO/en/mono/WithCLS/8/Average;217;9;9;4.147465437788019
ISO/en/multi/WithCLS/7/Average;217;13;9;5.990783410138248
AOC/en2/mono/NoSpec/20/Unique;217;13;9;5.990783410138248
AOC/en/mono/All/3/Last;226;5;0;2.2123893805309733
AOC/en2/mono/NoSpec/21/Unique;217;14;9;6.451612903225806
ISO/en2/mono/All/7/Average;217;13;9;5.990783410138248
ISO/en/multi/WithCLS/8/Average;217;13;9;5.990783410138248
ISO/en/mono/WithCLS/9/Average;217;10;9;4.6082949308755765
AOC/en/mono/All/4/Last;226;7;0;3.0973451327433628
AOC/en2/mono/NoSpec/22/Unique;217;14;9;6.451612903225806
ISO/en2/mono/All/8/Average;217;15;9;6.912442396313365
ISO/en/mono/WithCLS/10/Average;217;11;9;5.0691244239631335
ISO/en/multi/WithCLS/9/Average;217;13;9;5.990783410138248
AOC/en2/mono/NoSpec/23/Unique;217;16;9;7.373271889400922
